,sarcasm_type,text
2462,5,i #mustbeamarxist if i am against the people of our country being downtrodden by the selfservatives who sit in our house of commons slandering any form of opposition to the cruel inhumane practices they continue to act upon
2466,5,i love being chronically ill every time i decide to do something i get a migraine or my ankle gives out or my body develops new and exciting ways to troll me sarcasm anyway im planning on actually recording something today so thatll be fun
2477,1,men are a joke so youre right
2480,2,i really enjoyed the very thorough flushing of seasons of character development for jamie narrator she did not #got
2486,4,this shouldnt have to be such a chore
2489,2,the only thing we have to fear is fear itself and spiders
2498,2,i didnt play outside as a child and now my skin is less sun damaged than all of yours you fools you charlatans
2501,4,this feels like a personal attack honestly
2507,5,sex sells homie
2514,5,this is it my opus magnum level on candy crush ultimate dedication to procrastination
2522,5,love it when the bus is minutes late
2528,5,cant decide my favorite twitch comment today make me a sandwich bitch or are you ugly and thats why you arent showing your face
2531,2,#motd a butterfly flaps its wings in china and saurez falls to the floor
2535,2,if youre going to plagiarise a speech using one that goes we have never had the collapse of an airline or a holiday company on this scale before when youre also trying to pretend everything is fine is a bold move
2539,2,just update vueling has now changed the time of the flight times in the last hours reassuring
2549,5,when you think youre in bedford but youre actually in wellingborough oh joy of joys #delayedtrain #signalproblems #emtrains #mylifeneedstoimprove
2554,5,its amusing how some people can be so two faced
2572,2,portugese for a tractor apparently these graffiti artistes are clearly multilingual
2574,5,but well have blue passports so itll be billion well spent
2576,5,you know its going to be a good night when you only have to wait minutes for an elevator #urbylife
2583,2,when a random person asks you if youre working the game tonight no sir res life rule #51 all ras must have the same colored jackets and lanyards #cwru #neohomagic
2588,2,thanks for being here
2595,5,the most exciting thing to look forward to this weekendwork
2606,2,i love when my parents yell and scream at me and then get pissed at me for crying
2608,5,what i really love is some passive aggressive typing
2616,4,im starting to think the only thing we have in common is our name amp love for jin
2619,0,i just went downstairs to get a drink and my mum comes into the kitchen to inform me that if i tell her is coming back once more she will not hesitate to disown me i guess maybe im a little excited
2623,4,bingo is the biggest fix going
2633,2,way to ruin a lovely day out for my year old thanks
2646,2,its a good job theres nothing better the tories could have been doing with their time today eh
2650,4,charlie doesnt like abba i fear ive never made a bigger mistake in my life than committing my time to him
2653,4,if one more person asks me have you tried cbd oil in regards to nymerias anxiety i might actually commit a murder deep breath yes i have tried everything and when i say everything i mean everything i have indeed heard of and tried cbd oil thank you for coming to my ted talk
2659,5,can anyone point us in the direction of seller on the black market that deals in sprouts
2665,2,idk u dont deserve it at all tbh
2675,3,havent they ever heard of uber #londonmarathon
2682,5,cant wait to go to uni and get bullied again
2685,2,oh goodie my favorite pastime is reading your shitposts
2692,4,just got over how much i hate rhapsody in blue and then they whack it in an episode of glee go sick i hate it again i want gershwin to perish
2705,4,did i just watch joe biden die god i hope so
2712,5,been rejected by birmingham uni twice now lets go for the hat trick next year
2716,5,i can confirm i am retiring from the consumption of alcohol with immediate affect kind regards richard price
